f1,std_dev,learning_rate,n_estimators
0.634,0.030,0.1,25
0.625,0.007,0.1,50
0.616,0.005,0.1,100
0.613,0.012,0.1,200
0.619,0.023,0.25,25
0.613,0.015,0.25,50
0.608,0.010,0.25,100
0.602,0.009,0.25,200
0.607,0.014,0.5,25
0.605,0.010,0.5,50
0.597,0.016,0.5,100
0.597,0.014,0.5,200
0.599,0.016,0.75,25
0.596,0.006,0.75,50
0.598,0.008,0.75,100
0.590,0.007,0.75,200
0.598,0.015,1,25
0.596,0.005,1,50
0.590,0.007,1,100
0.585,0.011,1,200
