f1,std_dev,learning_rate,n_estimators
0.640,0.021,0.1,25
0.625,0.011,0.1,50
0.619,0.006,0.1,100
0.614,0.007,0.1,200
0.618,0.012,0.25,25
0.616,0.006,0.25,50
0.615,0.005,0.25,100
0.611,0.009,0.25,200
0.612,0.009,0.5,25
0.609,0.009,0.5,50
0.609,0.009,0.5,100
0.605,0.009,0.5,200
0.600,0.011,0.75,25
0.604,0.011,0.75,50
0.604,0.012,0.75,100
0.605,0.008,0.75,200
0.599,0.009,1,25
0.602,0.011,1,50
0.601,0.002,1,100
0.603,0.007,1,200
